assignment_count,ast_cosine,ast_depth,ast_jaccard,ast_sequence,branch_count,call_count,code_embedding_similarity,control_profile,cyclomatic,entropy,function_count,hybrid_score,lexical_cosine,lexical_edit,lexical_jaccard,loop_count,markov_js,markov_kl,nesting_depth,raw_cosine,raw_edit,raw_jaccard,return_count,score_lexical,score_semantic,score_stochastic,score_structural,score_syntactic,semantic_call_names,semantic_comprehensions,semantic_normalized_ast,semantic_operators,semantic_return_shapes,statement_count,label
1.0,0.9552975685661187,0.875,0.52,0.390625,0.0,0.75,0.8456338165042565,0.7071067811865475,0.33333333333333337,0.8902335875016165,1.0,0.5662167069592942,0.9198597557254259,0.3846153846153846,0.5714285714285714,0.0,0.9166430895531549,0.5307329608749122,0.0,0.4969870022920263,0.2153846153846154,0.23809523809523808,1.0,0.471061761256877,0.2317435671185255,0.7792032126432279,0.5504725828805596,0.6852306421415297,0.2,0.0,0.3448275862068966,0.0,0.0,0.7142857142857143,NO_PLAGIO
0.33333333333333337,0.9318150868338576,0.7,0.5,0.3119266055045872,1.0,0.6,0.8307732307411438,0.7302967433402214,0.5,0.8665395239979055,1.0,0.584618325641291,0.9398180241685282,0.36363636363636365,0.6363636363636364,0.0,0.9168248380484988,0.6765880513558871,0.5,0.6013607696110952,0.202020202020202,0.32558139534883723,0.5,0.5114633985247771,0.32659351825483707,0.8199841378007638,0.5830296743340221,0.6109354230846111,0.3333333333333333,0.0,0.2954545454545454,0.0,0.5,0.6666666666666667,NO_PLAGIO
0.5,0.8848781009819877,0.7,0.6666666666666666,0.5217391304347826,1.0,0.75,0.8392643311392955,1.0,1.0,0.8701920345527563,1.0,0.7238031229750979,0.8870440140081663,0.5454545454545454,0.6,1.0,0.9478238636947454,0.6389919029026493,1.0,0.6508863078913459,0.34090909090909094,0.34285714285714286,1.0,0.5611918501867152,0.5962265948724222,0.8190026003833836,0.925,0.6933209745208593,0.16666666666666666,1.0,0.5714285714285714,0.0,1.0,1.0,NO_PLAGIO
0.5,0.968704612145734,0.9,0.56,0.4307692307692308,0.0,0.7142857142857143,0.8283186194207742,0.7071067811865475,0.33333333333333337,0.8568240922921003,1.0,0.5938391095617153,0.9451936718795662,0.4838709677419355,0.7777777777777778,0.0,0.958733991836868,0.7279172740355612,0.0,0.6856012614240982,0.27419354838709675,0.3783783783783784,1.0,0.5908359342648088,0.22270918789288038,0.8478251193881765,0.469917027325004,0.7148684607287412,0.1111111111111111,0.0,0.39682539682539686,0.0,0.0,0.4444444444444444,NO_PLAGIO
0.33333333333333337,0.8536821615871986,0.8888888888888888,0.6071428571428571,0.3085106382978723,0.0,0.5,0.8372154888658175,0.7302967433402214,0.5,0.9451784004330038,1.0,0.6244216816996127,0.864005196409475,0.2875,0.6521739130434783,1.0,0.9601549274526077,0.831311065662681,0.5,0.5495913649495716,0.16249999999999998,0.34146341463414637,0.5,0.47620564817277855,0.4755063789459906,0.9122147978494309,0.5463630076673553,0.6645561364792042,0.25,1.0,0.26582278481012656,0.0,0.5,0.4,NO_PLAGIO
0.5,0.9774018892238224,0.75,0.7272727272727273,0.5,1.0,1.0,0.8587935411506665,1.0,1.0,0.9029348258113828,1.0,0.7695488222604034,0.9679157234054935,0.5757575757575757,0.7222222222222222,1.0,0.9594424797586006,0.7443167487702688,1.0,0.7738722580035543,0.33333333333333337,0.5,1.0,0.6455168521203632,0.6133245645507521,0.8688980181134175,0.95,0.7386686541241374,0.375,1.0,0.4461538461538461,0.0,1.0,1.0,NO_PLAGIO
0.0,0.844949017454471,0.7,0.48,0.34328358208955223,0.5,0.33333333333333337,0.7827499973400891,0.7745966692414834,0.75,0.7822254068530696,1.0,0.5436693403510433,0.8337937745745556,0.33333333333333337,0.30434782608695654,0.0,0.9124352344559885,0.7154630041339257,0.5,0.39578693953579946,0.15000000000000002,0.18421052631578946,0.33333333333333337,0.3669120666410724,0.433632936064618,0.8033745484809947,0.4827626972271786,0.5920581498860058,0.2,1.0,0.2857142857142857,0.0,0.33333333333333337,0.6363636363636364,NO_PLAGIO
1.0,0.8794080883518105,1.0,0.8666666666666667,0.5,1.0,0.5,0.854471708734154,0.5773502691896258,0.33333333333333337,0.7967803973175698,1.0,0.6685507751386951,0.7748734010301374,0.4117647058823529,0.5333333333333333,0.0,0.9243672739681038,0.8389919781025409,0.0,0.47502234625136774,0.2549019607843137,0.25,1.0,0.44998262454691745,0.5690423862383011,0.8533798831294049,0.598211217395153,0.8115186887546193,0.125,1.0,0.4347826086956522,1.0,0.0,0.5714285714285714,NO_PLAGIO
0.4,0.9330742993160525,0.7777777777777778,0.6363636363636364,0.3529411764705882,1.0,0.4444444444444444,0.803095982932037,0.8164965809277259,0.5,0.9029120058023158,1.0,0.5827318338092946,0.9157150702085242,0.3970588235294118,0.5882352941176471,0.0,0.9388260705862557,0.7644423994928824,0.0,0.534425112026277,0.16176470588235292,0.225,1.0,0.4703665009607021,0.18623028286962526,0.868726825293818,0.5910941025372172,0.6750392224820136,0.1,0.0,0.2142857142857143,0.0,0.0,0.75,NO_PLAGIO
1.0,0.9605032199409397,0.8,0.4827586206896552,0.46478873239436624,1.0,0.6,0.8469576640380727,1.0,1.0,0.9282827404748821,1.0,0.6338683642338422,0.7990632500825654,0.3653846153846154,0.4,1.0,0.867959951235996,0.5729291627411407,1.0,0.4299077196551286,0.15384615384615385,0.21621621621621623,1.0,0.3940696591974466,0.23904320855661,0.7897239514840063,0.96,0.6770126432562402,0.3333333333333333,0.0,0.25396825396825395,0.0,0.0,1.0,NO_PLAGIO
